Time (s),Temperature (C),Salinity Raw Voltage (V),ppt
349,28.0,0.14,2.231
350,26.5,0.15,2.470
351,26.5,0.12,1.912
352,26.4,0.12,1.992
353,26.2,0.08,1.354
354,26.0,0.04,0.637
355,25.8,0.00,0.080
356,25.9,0.00,0.000
357,25.9,0.09,1.434
358,25.7,0.00,0.000
359,25.5,0.02,0.319
360,25.1,0.22,3.585
361,24.6,0.08,1.354
362,22.6,0.09,1.514
363,24.0,0.14,2.310
364,24.2,0.19,3.107
365,24.1,0.13,2.071
366,24.4,0.15,2.470
367,24.1,0.16,2.629
368,24.2,0.00,0.080
369,25.2,0.12,1.912
370,24.7,0.19,3.027
371,25.2,0.11,1.753
372,25.2,0.01,0.159
373,24.5,0.13,2.071
374,24.6,0.18,2.868
375,24.5,0.19,3.027
376,24.7,0.18,2.868
377,25.2,0.14,2.231
378,25.2,0.20,3.266
379,25.2,0.15,2.470
380,25.1,0.15,2.470
381,26.3,0.14,2.310
382,25.2,0.11,1.753
383,25.1,0.09,1.514
384,25.3,0.00,0.000
385,25.2,0.00,0.000
386,24.8,0.00,0.000
387,24.6,0.00,0.080
388,24.7,0.00,0.000
389,24.6,0.00,0.000
390,24.7,0.00,0.000
391,24.9,0.00,0.000
392,25.4,0.00,0.080
393,25.9,0.00,0.000
394,26.5,0.00,0.000
395,26.5,0.15,2.470
396,26.8,0.02,0.398
397,26.8,0.00,0.000
398,26.9,0.00,0.000
399,28.0,0.12,1.912
400,26.9,0.00,0.080
401,27.0,0.00,0.000
402,26.9,0.00,0.000
403,27.0,0.00,0.000
404,26.9,0.00,0.080
405,26.9,0.00,0.000
406,26.9,0.00,0.000
407,26.8,0.00,0.000
408,26.7,0.00,0.000
409,26.8,0.00,0.080
410,26.7,0.14,2.231
411,26.8,0.20,3.187
412,26.6,0.14,2.231
413,26.5,0.17,2.788
414,26.6,0.16,2.629
415,27.5,0.10,1.593
416,28.1,0.16,2.629
417,26.8,0.09,1.434
418,27.3,0.19,3.027
419,27.2,0.17,2.788
420,27.0,0.04,0.637
421,25.5,0.15,2.390
422,27.3,0.10,1.593
423,26.8,0.01,0.239
424,26.7,0.02,0.398
425,26.6,0.11,1.832
426,26.5,0.14,2.310
427,26.5,0.11,1.832
428,26.5,0.16,2.549
429,26.5,0.17,2.788
430,28.2,0.13,2.071
431,26.7,0.17,2.788
432,26.6,0.16,2.629
433,26.5,0.18,2.868
434,26.5,0.17,2.788
435,26.8,0.14,2.310
436,26.7,0.15,2.390
437,25.6,0.14,2.231
438,26.6,0.19,3.027
439,26.6,0.18,2.948
440,26.8,0.15,2.470
441,26.5,0.15,2.470
442,26.7,0.16,2.549
443,26.9,0.16,2.549
444,27.0,0.19,3.107
445,27.0,0.14,2.310
446,27.1,0.16,2.549
447,27.0,0.00,0.000
448,27.0,0.00,0.000
449,27.1,0.21,3.426
450,27.0,0.05,0.797
451,27.1,0.00,0.000
452,27.1,0.11,1.832
453,26.9,0.00,0.000
454,26.8,0.00,0.000
455,27.0,0.00,0.000
456,26.6,0.01,0.159
457,26.5,0.00,0.000
458,26.3,0.00,0.000
459,26.2,0.00,0.000
460,26.1,0.00,0.080
461,25.9,0.00,0.000
462,25.8,0.00,0.000
463,25.3,0.00,0.000
464,25.2,0.00,0.000
465,24.8,0.00,0.080
466,24.7,0.00,0.000
467,24.4,0.01,0.159
468,24.4,0.00,0.000
469,24.2,0.00,0.000
470,23.9,0.00,0.000
471,23.7,0.00,0.080
472,23.5,0.00,0.000
473,23.3,0.00,0.080
474,23.2,0.00,0.080
475,23.0,0.00,0.080
476,22.8,0.00,0.080
477,22.7,0.00,0.000
478,22.6,0.00,0.000
479,22.6,0.00,0.080
480,22.5,0.00,0.080
481,22.4,0.00,0.080
482,22.3,0.00,0.080
